id;criterio;tipo;nota;justificativa;data_avaliacao
3001;atender aos prazos;execução;7.6;boa execução com erros pontuais;2023-03-10
3002;fazer mais com menos;execução;8.0;responsável, porém inseguro;2023-04-18
3004;resiliencia nas adversidades;execução;10.0;organizado, mas às vezes desatento;2023-04-19
3005;resiliencia nas adversidades;execução;8.0;reativo, falta proatividade;2023-04-15
3006;entregar com qualidade;comportamental;10.0;entrega consistente, mas falta comunicação;2023-04-01
3007;resiliencia nas adversidades;comportamental;9.5;criativo, porém pouco claro;2023-03-31
3008;capacidade de aprender;comportamental;8.0;inovador, mas confuso;2023-04-10
3012;sentimento de dono;comportamental;7.1;criativo, porém pouco claro;2023-03-23
3013;resiliencia nas adversidades;execução;6.2;inovador, mas confuso;2023-04-15
3015;organização no trabalho;execução;8.4;trabalho em equipe precisa melhorar;2023-04-21
3018;fazer mais com menos;comportamental;7.0;entrega consistente, mas falta comunicação;2023-03-13
3019;"ser ""team player""";execução;6.5;boa execução com erros pontuais;2023-03-16
3020;entregar com qualidade;execução;6.5;criativo, porém pouco claro;2023-04-24
3021;resiliencia nas adversidades;execução;10.0;trabalho em equipe precisa melhorar;2023-04-16
3022;fazer mais com menos;execução;9.0;aprende rápido, mas esquece feedbacks;2023-04-08
3024;organização no trabalho;execução;8.4;entrega consistente, mas falta comunicação;2023-03-30
3025;resiliencia nas adversidades;execução;9.7;boa execução com erros pontuais;2023-04-03
3030;fazer mais com menos;execução;6.4;boa execução com erros pontuais;2023-04-03
3031;resiliencia nas adversidades;execução;6.1;criativo, porém pouco claro;2023-04-22
3033;"ser ""team player""";comportamental;7.0;reativo, falta proatividade;2023-03-21
3034;organização no trabalho;execução;9.7;entrega consistente, mas falta comunicação;2023-04-21
3038;resiliencia nas adversidades;comportamental;9.3;responsável, porém inseguro;2023-04-24
3039;pensar fora da caixa;execução;9.1;boa execução com erros pontuais;2023-05-07
3040;fazer mais com menos;execução;6.9;trabalho em equipe precisa melhorar;2023-05-04
3041;"ser ""team player""";comportamental;6.9;responsável, porém inseguro;2023-03-29
3042;resiliencia nas adversidades;execução;6.7;inovador, mas confuso;2023-03-16
3044;atender aos prazos;comportamental;6.6;criativo, porém pouco claro;2023-03-26
3045;fazer mais com menos;execução;7.6;trabalho em equipe precisa melhorar;2023-05-01
3046;atender aos prazos;execução;9.8;organizado, mas às vezes desatento;2023-04-21
3047;sentimento de dono;comportamental;9.7;inovador, mas confuso;2023-04-07
3048;pensar fora da caixa;execução;9.0;cumpre prazos, mas sem iniciativa;2023-04-12
3050;sentimento de dono;execução;6.9;boa execução com erros pontuais;2023-04-25
3051;pensar fora da caixa;execução;7.4;entrega consistente, mas falta comunicação;2023-04-27
3052;entregar com qualidade;comportamental;8.0;reativo, falta proatividade;2023-04-30
3053;entregar com qualidade;execução;7.7;reativo, falta proatividade;2023-04-20
3054;organização no trabalho;comportamental;6.2;entrega consistente, mas falta comunicação;2023-04-07
3055;organização no trabalho;execução;6.6;entrega consistente, mas falta comunicação;2023-04-08
3056;entregar com qualidade;comportamental;7.0;entrega consistente, mas falta comunicação;2023-03-23
3057;capacidade de aprender;execução;8.0;responsável, porém inseguro;2023-04-14
3059;fazer mais com menos;execução;9.0;boa execução com erros pontuais;2023-03-26
3060;organização no trabalho;execução;7.0;criativo, porém pouco claro;2023-03-28
3061;capacidade de aprender;execução;7.3;cumpre prazos, mas sem iniciativa;2023-04-28
3064;"ser ""team player""";execução;8.6;reativo, falta proatividade;2023-04-10
3065;capacidade de aprender;execução;7.6;boa execução com erros pontuais;2023-03-22
3066;capacidade de aprender;execução;6.0;inovador, mas confuso;2023-04-29
3068;resiliencia nas adversidades;execução;7.6;responsável, porém inseguro;2023-04-26
3070;resiliencia nas adversidades;comportamental;9.3;criativo, porém pouco claro;2023-04-25
3071;fazer mais com menos;comportamental;6.4;trabalho em equipe precisa melhorar;2023-04-11
3072;entregar com qualidade;comportamental;8.9;reativo, falta proatividade;2023-03-19
3074;fazer mais com menos;comportamental;6.8;organizado, mas às vezes desatento;2023-04-09
3075;"ser ""team player""";comportamental;8.4;aprende rápido, mas esquece feedbacks;2023-04-13
3076;pensar fora da caixa;comportamental;8.9;responsável, porém inseguro;2023-03-12
3077;sentimento de dono;comportamental;7.3;trabalho em equipe precisa melhorar;2023-04-17
3078;capacidade de aprender;comportamental;7.9;boa execução com erros pontuais;2023-03-31
3079;atender aos prazos;comportamental;7.0;reativo, falta proatividade;2023-04-01
3080;entregar com qualidade;execução;6.5;trabalho em equipe precisa melhorar;2023-04-14
3081;resiliencia nas adversidades;comportamental;9.6;aprende rápido, mas esquece feedbacks;2023-03-12
3082;fazer mais com menos;execução;6.0;organizado, mas às vezes desatento;2023-05-07
3083;organização no trabalho;comportamental;9.6;boa execução com erros pontuais;2023-03-17
3084;pensar fora da caixa;execução;6.7;responsável, porém inseguro;2023-03-10
3085;entregar com qualidade;comportamental;10.0;aprende rápido, mas esquece feedbacks;2023-04-08
3086;pensar fora da caixa;execução;7.9;cumpre prazos, mas sem iniciativa;2023-03-24
3087;atender aos prazos;comportamental;8.1;reativo, falta proatividade;2023-04-06
3088;organização no trabalho;execução;8.5;boa execução com erros pontuais;2023-03-22
3089;pensar fora da caixa;execução;9.0;entrega consistente, mas falta comunicação;2023-04-19
3091;resiliencia nas adversidades;comportamental;8.5;inovador, mas confuso;2023-04-22
3093;organização no trabalho;execução;8.2;entrega consistente, mas falta comunicação;2023-04-29
3095;resiliencia nas adversidades;comportamental;9.0;entrega consistente, mas falta comunicação;2023-04-15
3096;pensar fora da caixa;comportamental;9.6;entrega consistente, mas falta comunicação;2023-04-20
3097;resiliencia nas adversidades;execução;8.1;aprende rápido, mas esquece feedbacks;2023-05-07
3098;pensar fora da caixa;comportamental;9.7;boa execução com erros pontuais;2023-05-09
3099;entregar com qualidade;comportamental;9.9;entrega consistente, mas falta comunicação;2023-03-12
3100;entregar com qualidade;comportamental;6.6;organizado, mas às vezes desatento;2023-03-28
3102;pensar fora da caixa;execução;7.4;trabalho em equipe precisa melhorar;2023-03-23
3103;resiliencia nas adversidades;execução;8.1;aprende rápido, mas esquece feedbacks;2023-03-31
3105;pensar fora da caixa;comportamental;8.3;cumpre prazos, mas sem iniciativa;2023-04-11
3106;resiliencia nas adversidades;comportamental;8.9;organizado, mas às vezes desatento;2023-04-26
3107;entregar com qualidade;execução;7.5;aprende rápido, mas esquece feedbacks;2023-03-11
3110;atender aos prazos;execução;6.0;entrega consistente, mas falta comunicação;2023-03-17
3112;"ser ""team player""";comportamental;9.0;reativo, falta proatividade;2023-03-14
3113;pensar fora da caixa;execução;10.0;aprende rápido, mas esquece feedbacks;2023-04-04
3115;atender aos prazos;comportamental;8.2;inovador, mas confuso;2023-05-05
3116;pensar fora da caixa;execução;9.9;criativo, porém pouco claro;2023-04-12
3117;capacidade de aprender;execução;9.8;trabalho em equipe precisa melhorar;2023-05-04
3118;resiliencia nas adversidades;comportamental;9.0;reativo, falta proatividade;2023-03-19
3119;sentimento de dono;execução;8.0;inovador, mas confuso;2023-05-09
3120;entregar com qualidade;comportamental;7.2;boa execução com erros pontuais;2023-04-16
3121;sentimento de dono;execução;6.5;cumpre prazos, mas sem iniciativa;2023-03-28
3122;"ser ""team player""";comportamental;8.9;organizado, mas às vezes desatento;2023-04-22
3124;fazer mais com menos;comportamental;7.7;reativo, falta proatividade;2023-03-18
3125;entregar com qualidade;comportamental;7.0;inovador, mas confuso;2023-03-18
3126;sentimento de dono;execução;6.6;criativo, porém pouco claro;2023-05-06
3127;capacidade de aprender;comportamental;9.4;trabalho em equipe precisa melhorar;2023-05-08
3128;entregar com qualidade;execução;6.4;boa execução com erros pontuais;2023-03-26
3129;pensar fora da caixa;execução;7.5;organizado, mas às vezes desatento;2023-04-17
3131;atender aos prazos;execução;9.1;criativo, porém pouco claro;2023-03-29
3132;resiliencia nas adversidades;comportamental;7.1;reativo, falta proatividade;2023-03-16
3133;resiliencia nas adversidades;comportamental;10.0;reativo, falta proatividade;2023-04-30
3134;atender aos prazos;comportamental;8.0;inovador, mas confuso;2023-05-01
3137;entregar com qualidade;comportamental;9.0;reativo, falta proatividade;2023-03-18
3138;resiliencia nas adversidades;execução;8.2;criativo, porém pouco claro;2023-04-14
3140;organização no trabalho;execução;8.0;cumpre prazos, mas sem iniciativa;2023-03-31
3141;entregar com qualidade;execução;6.5;reativo, falta proatividade;2023-03-28
3142;atender aos prazos;execução;10.0;responsável, porém inseguro;2023-03-29
3143;pensar fora da caixa;comportamental;6.4;entrega consistente, mas falta comunicação;2023-03-23
3144;organização no trabalho;execução;9.0;reativo, falta proatividade;2023-03-17
3147;fazer mais com menos;execução;8.4;boa execução com erros pontuais;2023-04-22
3148;resiliencia nas adversidades;execução;10.0;entrega consistente, mas falta comunicação;2023-04-03
3152;entregar com qualidade;comportamental;8.3;criativo, porém pouco claro;2023-03-17
3155;pensar fora da caixa;execução;8.0;entrega consistente, mas falta comunicação;2023-04-12
3156;sentimento de dono;comportamental;6.7;boa execução com erros pontuais;2023-04-28
3157;atender aos prazos;execução;7.1;inovador, mas confuso;2023-03-10
3158;"ser ""team player""";execução;6.9;inovador, mas confuso;2023-03-11
3159;sentimento de dono;comportamental;6.8;boa execução com erros pontuais;2023-04-05
3160;sentimento de dono;execução;9.0;trabalho em equipe precisa melhorar;2023-03-20
3162;fazer mais com menos;execução;7.6;responsável, porém inseguro;2023-03-14
3163;entregar com qualidade;execução;9.5;inovador, mas confuso;2023-03-26
3164;entregar com qualidade;execução;8.0;inovador, mas confuso;2023-05-01
3165;entregar com qualidade;comportamental;6.0;trabalho em equipe precisa melhorar;2023-03-28
3168;fazer mais com menos;comportamental;9.0;criativo, porém pouco claro;2023-04-20
